Team,Year,Sport,Gold_Count,Silver_Count,Bronze_Count
Andorra,1976,Boxing,0,0,0
Andorra,1976,Shooting,0,0,0
Andorra,1980,Shooting,0,0,0
Andorra,1984,Shooting,0,0,0
Andorra,1988,Athletics,0,0,0
Andorra,1988,Cycling,0,0,0
Andorra,1992,Athletics,0,0,0
Andorra,1992,Cycling,0,0,0
Andorra,1992,Judo,0,0,0
Andorra,1992,Sailing,0,0,0
Andorra,1992,Shooting,0,0,0
Andorra,1996,Athletics,0,0,0
Andorra,1996,Judo,0,0,0
Andorra,1996,Sailing,0,0,0
Andorra,1996,Shooting,0,0,0
Andorra,1996,Swimming,0,0,0
Andorra,2000,Athletics,0,0,0
Andorra,2000,Shooting,0,0,0
Andorra,2000,Swimming,0,0,0
Andorra,2004,Athletics,0,0,0
Andorra,2004,Judo,0,0,0
Andorra,2004,Shooting,0,0,0
Andorra,2004,Swimming,0,0,0
Andorra,2008,Athletics,0,0,0
Andorra,2008,Canoeing,0,0,0
Andorra,2008,Judo,0,0,0
Andorra,2008,Swimming,0,0,0
Andorra,2012,Athletics,0,0,0
Andorra,2012,Judo,0,0,0
Andorra,2012,Shooting,0,0,0
Andorra,2012,Swimming,0,0,0
Andorra,2016,Athletics,0,0,0
Andorra,2016,Judo,0,0,0
Andorra,2016,Shooting,0,0,0
Andorra,2016,Swimming,0,0,0
Andorra,2020,Athletics,0,0,0
Andorra,2020,Canoe Slalom,0,0,0
Andorra,2024,Athletics,0,0,0
Andorra,2024,Canoe Slalom,0,0,0
Andromeda,1964,Sailing,0,0,0
Angelita,1932,Sailing,12,0,0
Angelita,1936,Sailing,0,0,0
Angerburg,1936,Sailing,0,0,0
Angola,1980,Athletics,0,0,0
Angola,1980,Boxing,0,0,0
Angola,1980,Swimming,0,0,0
Angola,1988,Athletics,0,0,0
Angola,1988,Boxing,0,0,0
Angola,1988,Judo,0,0,0
Angola,1988,Swimming,0,0,0
Angola,1992,Athletics,0,0,0
Angola,1992,Basketball,0,0,0
Angola,1992,Boxing,0,0,0
Angola,1992,Judo,0,0,0
Angola,1992,Sailing,0,0,0
Angola,1992,Swimming,0,0,0
Angola,1996,Athletics,0,0,0
Angola,1996,Basketball,0,0,0
Angola,1996,Handball,0,0,0
Angola,1996,Shooting,0,0,0
Angola,1996,Swimming,0,0,0
Angola,2000,Athletics,0,0,0
Angola,2000,Basketball,0,0,0
Angola,2000,Handball,0,0,0
Angola,2000,Shooting,0,0,0
Angola,2000,Swimming,0,0,0
Angola,2004,Athletics,0,0,0
Angola,2004,Basketball,0,0,0
Angola,2004,Handball,0,0,0
Angola,2004,Judo,0,0,0
Angola,2004,Swimming,0,0,0
Angola,2008,Athletics,0,0,0
Angola,2008,Basketball,0,0,0
Angola,2008,Beach Volleyball,0,0,0
Angola,2008,Canoeing,0,0,0
Angola,2008,Handball,0,0,0
Angola,2008,Swimming,0,0,0
Angola,2012,Athletics,0,0,0
Angola,2012,Basketball,0,0,0
Angola,2012,Canoeing,0,0,0
Angola,2012,Handball,0,0,0
Angola,2012,Judo,0,0,0
Angola,2012,Swimming,0,0,0
Angola,2016,Athletics,0,0,0
Angola,2016,Handball,0,0,0
Angola,2016,Judo,0,0,0
Angola,2016,Rowing,0,0,0
Angola,2016,Sailing,0,0,0
Angola,2016,Shooting,0,0,0
Angola,2016,Swimming,0,0,0
Angola,2020,Athletics,0,0,0
Angola,2020,Handball,0,0,0
Angola,2020,Judo,0,0,0
Angola,2020,Sailing,0,0,0
Angola,2020,Swimming,0,0,0
Angola,2024,Athletics,0,0,0
Angola,2024,Canoe Sprint,0,0,0
Angola,2024,Handball,0,0,0
Angola,2024,Judo,0,0,0
Angola,2024,Rowing,0,0,0
Angola,2024,Sailing,0,0,0
Angola,2024,Swimming,0,0,0
Anitra,1936,Sailing,0,0,0
Antares,1948,Sailing,0,0,0
Antigua and Barbuda,1976,Athletics,0,0,0
Antigua and Barbuda,1976,Cycling,0,0,0
Antigua and Barbuda,1984,Athletics,0,0,0
Antigua and Barbuda,1984,Cycling,0,0,0
Antigua and Barbuda,1984,Sailing,0,0,0
Antigua and Barbuda,1988,Athletics,0,0,0
Antigua and Barbuda,1988,Boxing,0,0,0
Antigua and Barbuda,1988,Cycling,0,0,0
Antigua and Barbuda,1988,Sailing,0,0,0
Antigua and Barbuda,1992,Athletics,0,0,0
Antigua and Barbuda,1992,Cycling,0,0,0
Antigua and Barbuda,1992,Sailing,0,0,0
Antigua and Barbuda,1996,Athletics,0,0,0
Antigua and Barbuda,1996,Canoeing,0,0,0
Antigua and Barbuda,1996,Cycling,0,0,0
Antigua and Barbuda,1996,Sailing,0,0,0
Antigua and Barbuda,2000,Athletics,0,0,0
Antigua and Barbuda,2000,Sailing,0,0,0
Antigua and Barbuda,2004,Athletics,0,0,0
Antigua and Barbuda,2004,Swimming,0,0,0
Antigua and Barbuda,2008,Athletics,0,0,0
Antigua and Barbuda,2008,Swimming,0,0,0
Antigua and Barbuda,2012,Athletics,0,0,0
Antigua and Barbuda,2012,Swimming,0,0,0
Antigua and Barbuda,2016,Athletics,0,0,0
Antigua and Barbuda,2016,Swimming,0,0,0
Antigua and Barbuda,2020,Athletics,0,0,0
Antigua and Barbuda,2020,Boxing,0,0,0
Antigua and Barbuda,2020,Sailing,0,0,0
Antigua and Barbuda,2020,Swimming,0,0,0
Antigua and Barbuda,2024,Athletics,0,0,0
Antigua and Barbuda,2024,Sailing,0,0,0
Antigua and Barbuda,2024,Swimming,0,0,0
Antwerpia V,1920,Sailing,0,0,5
Antwerpia V,1924,Sailing,0,0,0
Apache,1948,Sailing,0,0,0
Aphrodite,1964,Sailing,0,0,3
Arcturus,1952,Sailing,0,0,0
Ardilla,1960,Sailing,0,0,0
Aretusa,1956,Sailing,0,0,0
Argentina,1900,Fencing,0,0,0
Argentina,1908,Figure Skating,0,0,0
Argentina,1920,Boxing,0,0,0
Argentina,1924,Athletics,0,1,0
Argentina,1924,Boxing,0,2,2
Argentina,1924,Cycling,0,0,0
Argentina,1924,Fencing,0,0,0
Argentina,1924,Polo,5,0,0
Argentina,1924,Rowing,0,0,0
Argentina,1924,Sailing,0,0,0
Argentina,1924,Shooting,0,0,0
Argentina,1924,Swimming,0,0,0
Argentina,1924,Tennis,0,0,0
Argentina,1924,Weightlifting,0,0,0
Argentina,1928,Athletics,0,0,0
Argentina,1928,Boxing,2,2,0
Argentina,1928,Cycling,0,0,0
Argentina,1928,Equestrianism,0,0,0
Argentina,1928,Fencing,0,0,5
Argentina,1928,Football,0,16,0
Argentina,1928,Rowing,0,0,0
Argentina,1928,Swimming,1,0,0
Argentina,1928,Water Polo,0,0,0
Argentina,1928,Weightlifting,0,0,0
Argentina,1928,Wrestling,0,0,0
Argentina,1932,Art Competitions,0,0,0
Argentina,1932,Athletics,1,0,0
Argentina,1932,Boxing,2,1,0
Argentina,1932,Fencing,0,0,0
Argentina,1932,Shooting,0,0,0
Argentina,1932,Swimming,0,0,0
Argentina,1932,Weightlifting,0,0,0
Argentina,1936,Athletics,0,0,0
Argentina,1936,Boxing,1,1,2
Argentina,1936,Fencing,0,0,0
Argentina,1936,Polo,4,0,0
Argentina,1936,Rowing,0,0,2
Argentina,1936,Shooting,0,0,0
Argentina,1936,Swimming,0,1,0
Argentina,1948,Athletics,1,1,0
Argentina,1948,Basketball,0,0,0
Argentina,1948,Boxing,2,0,1
Argentina,1948,Cycling,0,0,0
Argentina,1948,Equestrianism,0,0,0
Argentina,1948,Fencing,0,0,0
Argentina,1948,Gymnastics,0,0,0
Argentina,1948,Hockey,0,0,0
Argentina,1948,Modern Pentathlon,0,0,0
Argentina,1948,Rowing,0,0,0
Argentina,1948,Sailing,0,0,0
Argentina,1948,Shooting,0,1,0
Argentina,1948,Swimming,0,0,0
Argentina,1948,Water Polo,0,0,0
Argentina,1948,Weightlifting,0,0,0
Argentina,1948,Wrestling,0,0,0
Argentina,1952,Athletics,0,1,0
Argentina,1952,Basketball,0,0,0
Argentina,1952,Boxing,0,1,1
Argentina,1952,Cycling,0,0,0
Argentina,1952,Equestrianism,0,0,0
Argentina,1952,Fencing,0,0,0
Argentina,1952,Gymnastics,0,0,0
Argentina,1952,Modern Pentathlon,0,0,0
Argentina,1952,Rowing,2,0,0
Argentina,1952,Sailing,0,0,0
Argentina,1952,Shooting,0,0,0
Argentina,1952,Swimming,0,0,0
Argentina,1952,Water Polo,0,0,0
Argentina,1952,Weightlifting,0,0,1
Argentina,1952,Wrestling,0,0,0
Argentina,1956,Athletics,0,0,0
Argentina,1956,Boxing,0,0,1
Argentina,1956,Equestrianism,0,0,0
Argentina,1956,Fencing,0,0,0
Argentina,1956,Modern Pentathlon,0,0,0
Argentina,1956,Sailing,0,0,0
Argentina,1956,Shooting,0,0,0
Argentina,1956,Weightlifting,0,1,0
Argentina,1956,Wrestling,0,0,0
Argentina,1960,Athletics,0,0,0
Argentina,1960,Boxing,0,0,1
Argentina,1960,Cycling,0,0,0
Argentina,1960,Diving,0,0,0
Argentina,1960,Equestrianism,0,0,0
Argentina,1960,Fencing,0,0,0
Argentina,1960,Football,0,0,0
Argentina,1960,Gymnastics,0,0,0
Argentina,1960,Modern Pentathlon,0,0,0
Argentina,1960,Rowing,0,0,0
Argentina,1960,Sailing,0,0,0
Argentina,1960,Shooting,0,0,0
Argentina,1960,Swimming,0,0,0
Argentina,1960,Water Polo,0,0,0
Argentina,1960,Wrestling,0,0,0
Argentina,1964,Athletics,0,0,0
Argentina,1964,Boxing,0,0,0
Argentina,1964,Cycling,0,0,0
Argentina,1964,Equestrianism,0,1,0
Argentina,1964,Fencing,0,0,0
Argentina,1964,Football,0,0,0
Argentina,1964,Gymnastics,0,0,0
Argentina,1964,Judo,0,0,0
Argentina,1964,Rowing,0,0,0
Argentina,1964,Sailing,0,0,0
Argentina,1964,Shooting,0,0,0
Argentina,1964,Swimming,0,0,0
Argentina,1964,Weightlifting,0,0,0
Argentina,1964,Wrestling,0,0,0
Argentina,1968,Athletics,0,0,0
Argentina,1968,Boxing,0,0,1
Argentina,1968,Cycling,0,0,0
Argentina,1968,Equestrianism,0,0,0
Argentina,1968,Fencing,0,0,0
Argentina,1968,Hockey,0,0,0
Argentina,1968,Rowing,0,0,1
Argentina,1968,Sailing,0,0,0
Argentina,1968,Shooting,0,0,0
Argentina,1968,Swimming,0,0,0
Argentina,1968,Weightlifting,0,0,0
Argentina,1968,Wrestling,0,0,0
Argentina,1972,Athletics,0,0,0
Argentina,1972,Boxing,0,0,0
Argentina,1972,Cycling,0,0,0
Argentina,1972,Equestrianism,0,0,0
Argentina,1972,Fencing,0,0,0
Argentina,1972,Hockey,0,0,0
Argentina,1972,Judo,0,0,0
Argentina,1972,Rowing,0,1,0
Argentina,1972,Sailing,0,0,0
Argentina,1972,Shooting,0,0,0
Argentina,1972,Swimming,0,0,0
Argentina,1972,Wrestling,0,0,0
Argentina,1976,Athletics,0,0,0
Argentina,1976,Boxing,0,0,0
Argentina,1976,Cycling,0,0,0
Argentina,1976,Equestrianism,0,0,0
Argentina,1976,Fencing,0,0,0
Argentina,1976,Hockey,0,0,0
Argentina,1976,Judo,0,0,0
Argentina,1976,Rowing,0,0,0
Argentina,1976,Sailing,0,0,0
Argentina,1976,Shooting,0,0,0
Argentina,1976,Swimming,0,0,0
Argentina,1976,Wrestling,0,0,0
Argentina,1984,Athletics,0,0,0
Argentina,1984,Boxing,0,0,0
Argentina,1984,Canoeing,0,0,0
Argentina,1984,Cycling,0,0,0
Argentina,1984,Diving,0,0,0
Argentina,1984,Equestrianism,0,0,0
Argentina,1984,Fencing,0,0,0
Argentina,1984,Judo,0,0,0
Argentina,1984,Rowing,0,0,0
Argentina,1984,Sailing,0,0,0
Argentina,1984,Shooting,0,0,0
Argentina,1984,Swimming,0,0,0
Argentina,1984,Volleyball,0,0,0
Argentina,1984,Wrestling,0,0,0
Argentina,1988,Archery,0,0,0
Argentina,1988,Athletics,0,0,0
Argentina,1988,Boxing,0,0,0
Argentina,1988,Canoeing,0,0,0
Argentina,1988,Cycling,0,0,0
Argentina,1988,Diving,0,0,0
Argentina,1988,Fencing,0,0,0
Argentina,1988,Football,0,0,0
Argentina,1988,Hockey,0,0,0
Argentina,1988,Judo,0,0,0
Argentina,1988,Rowing,0,0,0
Argentina,1988,Sailing,0,0,0
Argentina,1988,Shooting,0,0,0
Argentina,1988,Swimming,0,0,0
Argentina,1988,Table Tennis,0,0,0
Argentina,1988,Tennis,0,1,0
Argentina,1988,Volleyball,0,0,12
Argentina,1988,Wrestling,0,0,0
Argentina,1992,Athletics,0,0,0
Argentina,1992,Boxing,0,0,0
Argentina,1992,Canoeing,0,0,0
Argentina,1992,Cycling,0,0,0
Argentina,1992,Diving,0,0,0
Argentina,1992,Fencing,0,0,0
Argentina,1992,Gymnastics,0,0,0
Argentina,1992,Hockey,0,0,0
Argentina,1992,Judo,0,0,0
Argentina,1992,Rowing,0,0,0
Argentina,1992,Sailing,0,0,0
Argentina,1992,Shooting,0,0,0
Argentina,1992,Swimming,0,0,0
Argentina,1992,Table Tennis,0,0,0
Argentina,1992,Tennis,0,0,2
Argentina,1992,Weightlifting,0,0,0
Argentina,1992,Wrestling,0,0,0
Argentina,1996,Athletics,0,0,0
Argentina,1996,Basketball,0,0,0
Argentina,1996,Beach Volleyball,0,0,0
Argentina,1996,Boxing,0,0,1
Argentina,1996,Canoeing,0,0,0
Argentina,1996,Cycling,0,0,0
Argentina,1996,Equestrianism,0,0,0
Argentina,1996,Fencing,0,0,0
Argentina,1996,Football,0,18,0
Argentina,1996,Gymnastics,0,0,0
Argentina,1996,Hockey,0,0,0
Argentina,1996,Judo,0,0,0
Argentina,1996,Rowing,0,0,0
Argentina,1996,Sailing,0,1,0
Argentina,1996,Shooting,0,0,0
Argentina,1996,Swimming,0,0,0
Argentina,1996,Tennis,0,0,0
Argentina,1996,Volleyball,0,0,0
Argentina,1996,Weightlifting,0,0,0
Argentina,1996,Wrestling,0,0,0
Argentina,2000,Athletics,0,0,0
Argentina,2000,Boxing,0,0,0
Argentina,2000,Canoeing,0,0,0
Argentina,2000,Cycling,0,0,0
Argentina,2000,Diving,0,0,0
Argentina,2000,Equestrianism,0,0,0
Argentina,2000,Fencing,0,0,0
Argentina,2000,Gymnastics,0,0,0
Argentina,2000,Hockey,0,16,0
Argentina,2000,Judo,0,0,0
Argentina,2000,Rowing,0,0,0
Argentina,2000,Sailing,0,1,3
Argentina,2000,Shooting,0,0,0
Argentina,2000,Swimming,0,0,0
Argentina,2000,Table Tennis,0,0,0
Argentina,2000,Taekwondo,0,0,0
Argentina,2000,Tennis,0,0,0
Argentina,2000,Triathlon,0,0,0
Argentina,2000,Volleyball,0,0,0
Argentina,2000,Weightlifting,0,0,0
Argentina,2004,Athletics,0,0,0
Argentina,2004,Basketball,12,0,0
Argentina,2004,Beach Volleyball,0,0,0
Argentina,2004,Boxing,0,0,0
Argentina,2004,Canoeing,0,0,0
Argentina,2004,Cycling,0,0,0
Argentina,2004,Equestrianism,0,0,0
Argentina,2004,Fencing,0,0,0
Argentina,2004,Football,16,0,0
Argentina,2004,Gymnastics,0,0,0
Argentina,2004,Hockey,0,0,16
Argentina,2004,Judo,0,0,0
Argentina,2004,Rowing,0,0,0
Argentina,2004,Sailing,0,0,2
Argentina,2004,Shooting,0,0,0
Argentina,2004,Swimming,0,0,1
Argentina,2004,Table Tennis,0,0,0
Argentina,2004,Taekwondo,0,0,0
Argentina,2004,Tennis,0,0,2
Argentina,2004,Triathlon,0,0,0
Argentina,2004,Volleyball,0,0,0
Argentina,2004,Weightlifting,0,0,0
Argentina,2008,Athletics,0,0,0
Argentina,2008,Basketball,0,0,12
Argentina,2008,Beach Volleyball,0,0,0
Argentina,2008,Boxing,0,0,0
Argentina,2008,Canoeing,0,0,0
Argentina,2008,Cycling,2,0,0
Argentina,2008,Equestrianism,0,0,0
Argentina,2008,Fencing,0,0,0
Argentina,2008,Football,18,0,0
Argentina,2008,Hockey,0,0,16
Argentina,2008,Judo,0,0,1
Argentina,2008,Rowing,0,0,0
Argentina,2008,Sailing,0,0,2
Argentina,2008,Shooting,0,0,0
Argentina,2008,Swimming,0,0,0
Argentina,2008,Table Tennis,0,0,0
Argentina,2008,Taekwondo,0,0,0
Argentina,2008,Tennis,0,0,0
Argentina,2008,Weightlifting,0,0,0
Argentina,2012,Athletics,0,0,0
Argentina,2012,Basketball,0,0,0
Argentina,2012,Beach Volleyball,0,0,0
Argentina,2012,Boxing,0,0,0
Argentina,2012,Canoeing,0,0,0
Argentina,2012,Cycling,0,0,0
Argentina,2012,Equestrianism,0,0,0
Argentina,2012,Fencing,0,0,0
Argentina,2012,Gymnastics,0,0,0
Argentina,2012,Handball,0,0,0
Argentina,2012,Hockey,0,15,0
Argentina,2012,Judo,0,0,0
Argentina,2012,Rowing,0,0,0
Argentina,2012,Sailing,0,0,2
Argentina,2012,Shooting,0,0,0
Argentina,2012,Swimming,0,0,0
Argentina,2012,Synchronized Swimming,0,0,0
Argentina,2012,Table Tennis,0,0,0
